StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q15,FL_6_DO
3/20/2020 21:25,3/20/2020 21:28,IP Address,108.221.23.163,100,152,TRUE,3/20/2020 21:28,R_3Rq0LXXGXaA0a9c,,,,,37.2124939,-121.8641052,anonymous,EN,jex,fup,bej,,,,,,,,biw,nuv,kef,fav,jiv,,,,,,20,Female,,Currently attending or completed college,,Yes: only an introductory class,Yes,Extremely familiar,,Block1
3/20/2020 21:46,3/20/2020 21:49,IP Address,24.4.74.29,100,176,TRUE,3/20/2020 21:49,R_3ETkdY01R4ZQkmL,,,,,37.54969788,-121.9620972,anonymous,EN,mep,jih,jex,bej,fep,buw,,,,,jid,maf,biw,,,,,,,,15,Female,,Never finished high school,,"Yes: multiple classes, or upper-division classes",Yes,Slightly familiar,,Block4
3/21/2020 0:20,3/21/2020 0:26,IP Address,107.203.251.181,100,339,TRUE,3/21/2020 0:26,R_VJqo4q1kYjB436x,,,,,37.72009277,-122.4413986,anonymous,EN,buw,fep,dij,koj,fej,bep?,,,,,maj,biw,hep,jid,haj,,,,,,19,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Very familiar,,Block4
3/21/2020 9:59,3/21/2020 10:06,IP Address,8.36.116.205,100,406,TRUE,3/21/2020 10:06,R_2wLkjG3D6DksdDC,,,,,34.05439758,-118.2440033,anonymous,EN,FEP,BIJ,KOJ,BIW,FUP,,,,,,MAF,BIW,KEF,MEP,,,,,,,49,Female,,Currently attending or completed graduate study,,No,Yes,Moderately familiar,Good job,Block1
3/21/2020 10:36,3/21/2020 10:40,IP Address,24.4.74.29,100,257,TRUE,3/21/2020 10:40,R_31vkpoxZhDciz3v,,,,,37.54969788,-121.9620972,anonymous,EN,bej,koj,fup,buw,naf,jex,dij,,,,maf,haj,biw,kef,,,,,,,48,Male,,Currently attending or completed graduate study,,No,Yes,Moderately familiar,,Block1
3/21/2020 11:13,3/21/2020 11:15,IP Address,147.92.89.183,100,164,TRUE,3/21/2020 11:15,R_2wAoXMozQTDDGaS,,,,,37.54969788,-121.9620972,anonymous,EN,BEJ,NAF,,,,,,,,JIH,BIJ,,,,,,,,,MAF,15,Female,,Currently in or completed high school,,No,Yes,Extremely familiar,,Block4
3/21/2020 11:32,3/21/2020 11:35,IP Address,24.7.22.39,100,173,TRUE,3/21/2020 11:35,R_ANbU3KOQVijrC25,,,,,37.54969788,-121.9620972,anonymous,EN,BIJ,MEP,,,,,,FEP,JIH,MOP,BIJ,,,,,,,,,MAF,15,Male,,Currently in or completed high school,,No,Yes,Slightly familiar,,Block1
3/21/2020 12:04,3/21/2020 12:07,IP Address,73.202.118.41,100,231,TRUE,3/21/2020 12:07,R_R8GWMgAbtiqR6N3,,,,,37.54969788,-121.9620972,anonymous,EN,bej,maf ,buw,jup,fep,,jex,,,,biw,mif ,,hef,,kew ,,,,,16,Female,,Currently in or completed high school,,No,Yes,Moderately familiar,,Block1
3/21/2020 12:16,3/21/2020 12:25,IP Address,73.189.63.96,100,541,TRUE,3/21/2020 12:25,R_1eVvLQZs9QQPuZO,,,,,37.52810669,-121.9732056,anonymous,EN,BIJ,NEF,DHI,EAH,KOJ,NFP,HFZ,BWJ,DFH,CHT,HUJ ,MAF ,DIV,KOJ,MIF,EAH,JIH,GCK,FIK,WHJ,15,Female,,Currently in or completed high school,,No,Yes,Extremely familiar,What impact does color have on memory if what you are asked to memorize has nothing to do with the colors youâ€™ve seen?,Block4
3/21/2020 14:52,3/21/2020 15:12,IP Address,76.253.7.90,100,1207,TRUE,3/21/2020 15:12,R_2uWZVE0KY5otcYw,,,,,37.67359924,-122.0943985,anonymous,EN,bej,nax,bij,,,,,,,,biw,nuv,,,,,,,,,20,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Very familiar,,Block1
3/21/2020 16:24,3/21/2020 16:29,IP Address,104.220.176.252,100,267,TRUE,3/21/2020 16:29,R_2Pcj3p6t75j3fQH,,,,,38.68099976,-121.738205,anonymous,EN,bej,NAF,WUF,,,,,,,,BIW,NUV,,,,,,,,,22,Male,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block4
3/21/2020 16:55,3/21/2020 16:59,IP Address,24.5.92.154,100,225,TRUE,3/21/2020 16:59,R_1hM7qNeDbOZ3S4D,,,,,37.40429688,-122.0747986,anonymous,EN,Fep,,,,,,,,,,Faj,Kef,Maf,,,,,,,,43,Female,,Currently attending or completed graduate study,,Yes: only an introductory class,Yes,Slightly familiar,,Block1
3/21/2020 17:21,3/21/2020 17:31,IP Address,73.150.86.246,100,587,TRUE,3/21/2020 17:31,R_3QSzkJ8Cm9XiNhf,,,,,40.64120483,-74.90879822,anonymous,EN,Bij,Fep,Iku,,,,,,,,Fij,Bik,Nuf,Mva,Adf,,,,,Mag,58,Female,,Currently attending or completed graduate study,,No,Yes,Extremely familiar,,Block4
3/21/2020 17:56,3/21/2020 17:59,IP Address,73.150.86.246,100,217,TRUE,3/21/2020 17:59,R_78ayJzIBjDwqA5r,,,,,40.64120483,-74.90879822,anonymous,EN,bej,map,jih,fep,,,,,,,maf,haj,faj,biw,muf,,,,,,22,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Moderately familiar,,Block4
3/21/2020 19:49,3/21/2020 19:53,IP Address,73.220.205.236,100,239,TRUE,3/21/2020 19:53,R_3iszebaGMUXwFLq,,,,,38.02960205,-121.3460007,anonymous,EN,bej,mup,,,,,,,,,biw,nuv,dej,nij,,,,,,,20,Female,,Currently attending or completed college,,Yes: only an introductory class,Yes,Very familiar,,Block1
3/21/2020 10:36,3/21/2020 20:15,IP Address,73.189.145.133,100,34730,TRUE,3/21/2020 20:15,R_1hzfAv1cTZJ15Tv,,,,,37.84869385,-122.2209015,anonymous,EN,hij,fep,duj,,,,,,,,biw,,,,,,,,,,49,Female,,Currently attending or completed graduate study,,No,Yes,Slightly familiar,,Block4
3/22/2020 11:34,3/22/2020 11:37,IP Address,70.181.198.108,100,220,TRUE,3/22/2020 11:37,R_6VfFjsAZT0bO7Nn,,,,,33.21090698,-117.2232056,anonymous,EN,Bej,Koj,Fub,Jih,,,,,,,Jid,Biw,Feh,Doj,,,,,,,19,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block1
3/22/2020 17:30,3/22/2020 17:39,IP Address,98.234.51.115,100,513,TRUE,3/22/2020 17:39,R_31dE1NvcTzIAxVe,,,,,37.2808075,-121.9571991,anonymous,EN,BEJ,,,,,,,,,,MAF,BUV,,,,,,,,,51,Female,,Currently attending or completed college,,Yes: only an introductory class,No,Not familiar at all,,Block1
3/24/2020 15:31,3/24/2020 15:34,IP Address,73.225.173.237,100,157,TRUE,3/24/2020 15:34,R_3PQQpHLdXCyKVYU,,,,,47.61309814,-122.2052994,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block4
3/27/2020 15:10,3/27/2020 15:12,IP Address,108.20.177.47,100,124,TRUE,3/27/2020 15:12,R_3OkRgio0PbPalGk,,,,,42.31039429,-71.27410126,anonymous,EN,fep,jeb,naf,buw,,,,,,jih,faj,nav,huv,biw,,,,,,,18,Female,,Currently attending or completed college,,Yes: only an introductory class,Yes,Very familiar,,Block1
3/23/2020 20:00,3/29/2020 14:43,IP Address,75.80.188.51,100,499347,TRUE,3/29/2020 14:43,R_26bFVaoNRCiJlzk,,,,,32.96609497,-117.1202011,anonymous,EN,fep,buw,bej,mep,jij,jix,fij,,,,biw,muj,dej,kaf,,kef,,,,maf,19,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block1
4/15/2020 13:40,4/15/2020 13:45,IP Address,136.152.143.166,100,330,TRUE,4/15/2020 13:45,R_1oAuZfsn56bgBnQ,,,,,37.87359619,-122.2570038,anonymous,EN,fep,jex,jih,bsw,fup,,,,,,maf,foj,kiv,dej,bih,,,,,,25,Female,,Currently attending or completed college,,"Yes: multiple classes, or upper-division classes",Yes,Extremely familiar,,Block4
